blockchain,type,tx_hash,tx_fee_raw
opbnb,AccessList,0x8f7e7d3a4186e6657120b8c3c824daeaefcfcb9ade4a58d4e678aed7c3a59e03,106606265284
unichain,126,0x7e1ac24f4032e3a9e534dfe9553ff9d3eda4c68dfed090cce39af54d1583c17f,0
unichain,DynamicFee,0xd4f7e095aa18a5d603361714e1d8891bf3784b6b5e01aaa371611f413fce9707,76638880422
unichain,Legacy,0x8ee48f02ffa1e848637d8d27de38050d3ac07198cb296bbdc61081b19449ceaa,455729414249385
unichain,AccessList,0x8da82cd27b413c5a11a4cc662b94c752f0c974c6eac9cf148bb238e72830e854,25337811476744
unichain,EIP-7702,0x55465ba881997ac05aec8436849cdda42d662e4b27da8cd5d003e3eb54bdf2e3,411625168558
b3,126,0x93c3681ad93fc44573093b791087a085971027ddf3a62ecc5e2a9bdda96dc807,0
b3,DynamicFee,0xf888be743d89ba43053aec6829a3bf7541dae290cdc4143d294be6b3c6ea83b9,467959018258
b3,Legacy,0x6a1249d2655d02fa1618dceef2932d1d23d37fd811da559dc6bd787a5088a3a3,57390944094
b3,AccessList,0x6ab46b299f3ada816ed694364bcb71ac0355fd07cb2f7fd27010189d902ec3a6,56249424985
shape,126,0xf425033be514543933a841b6de4538c9dff4f3e10730c294303618bb88544ea1,0
shape,DynamicFee,0x435b9635c5a5d0701b3e5f8fd38e39552654ac88a5311e4078eb41e805fe5bcb,788644200452
shape,Legacy,0x9df8b8df70a76b579e115c6e9884b57b69eef4e43d23ea305d138fb90521b978,1043605579539
shape,AccessList,0xe67d8048551f89596ecd45b37d80d5f4faf7deb65de7d8af2ac05bea1e8985b2,1943916538589
bob,126,0x62e23fa5f1155bf1d27f9a82dcadee0e1ba143b3700c14f74028ac2ac926b72f,0
bob,DynamicFee,0x09ec41d67bb30ad821a5e2fe5e24e251a09d574d2d671fb47612334f757b8ea8,88089422252061
bob,Legacy,0x9a211a125b86daef1e1bf5446f032e896d9c103638e027c92ae92a01fe5987fb,63837561104061
bob,AccessList,0x65a559bf257a1fb7799e86ec1537a842f2d161a670489f2c5235a52f0ca732de,1564240951171
katana,126,0x56c658b1ab05df0ac36f27b47b9c1a5867b646f774b396db97c8cc44217999d9,0
katana,126,0xccfe9b955129afafde0f381859710dd8a842ca9d2b8af51c56ed6e705e6ae7b8,0
katana,126,0xe975d39673e5a1fcb74f2d23fd5262ebe9b40ae6e7b2f0943380528448bb750e,0
katana,126,0xf07d7d1017403db96de10642e44d01f773f27944ee8b77fb2c4f3d52ecd032d2,0
