tx_hash,seller,nft_token_id
0xdb83ef61355ec5a1113f305333d4c030347b65e5ee1d3ad949b5b3c3e4ff44a1,0xbc1bcac4c1c1b82d09c156423ead75c05ce58404,8693
0x5a8695bc41412fc0206e542323f8a625b92e20bc27be87a1d842ae8de5d739f6,0x3956ff98921f92f02d3a07348883a3cb07681352,10666
0x8c4df49d7c8a230e5c66e818f23a9260aca4a1d5cd198383ec45f8a0ba0feb3f,0xa27e008a246d37330c807e6f69e273fb5359fbaf,1021
0x92fbad9610334e0ddef886078292ae22d1d602ef78539707d7077cad2d70a40a,0x5c1229606becf30f5bf7113f7a6920e79feefa2b,8844
0x838ff720262b46bc7f03d0ca4c112e91eab3de6c49a4113b0620a1b1318fee68,0x843abbfff0337d6cdacb501db875520a7545a5c5,1236
0x2a60636ec52ddccb2c0a9d0d17fae95b1889e0d9adc8ca7c5b6df27c43bc0cd3,0xe153ff620cba64f2b10b3f78fbb08f940eb3a29a,8018
0x6981bc42f3c02ba4c29b1c0115625acbb3b814c2485e6e705dff453be0333ee3,0x7cc22040440886fe2f48cffa6e41fbec95b794d1,415
0x974a04230b28eaf6fef8997f8079b97e8651e73b8875490b0e3d82ab1c5bfd26,0x7d872f8ec8e6463d06e8f99f4f0e9dc5f2b15877,5863
0x1b2cf6865d8ebfeb8c91784bc48cad63180ee9b8a1df3a0720735791fc07651a,0x4c6a766e27726f084c41e2ba98d6df8e78f8e6e1,1465
0xce47748f94c07d8ebd32f59495eaf6257b0c3cdb84c405bb78ae1cd678a039e3,0x618bb57fe94527c11fa7e14e0bcc85822de7ec96,
0x9f448d8b681ca7b3500c92668f285e9298ce3d2f69e514f769d2a67d0c2180f5,0xac9d300ec1eafefe669d2f6c45e4820798e9398a,1890
0xb9d74f72a535eebac15d7a6530d83ec414b670331590dbf4686ff034b9bc7df5,0x1fbc1156fb449faeab105fc088a0a97cb733a463,5786
0xc2f5fd469eeb7ccb76b37351a4120f5cb1110e6f27c30d39c66d746f52c6e774,0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,13679
0xdbe88beb290d22bf6abbef9bbac200f6b2daeac8734d6fab96b5ff99b48e9c39,0x0cfbbdff8e741ab4d996fd121bd56f20446e8f8c,5775
0x7e2ea8a14f26b33ec6de78671092ba884a6917127ea6ad24ebe2edc9d04348fd,0xb937607a65e9ce6e58f32f369d30fb83700c8af9,1804
0x5a26e1ce1dbac85947090ec1869e2881dff0264aa220f707c05f35554f92d518,0x447a0b5e86c3330160783cf0f7d4c8d83edb6749,5843
0x99912d0561b48011241faeac3ba4579dc800d38b65a45ec77e42e6876860a7b4,0xa21337d5ddab524a85b476b27c049a28922fbdef,1556
0xcdd50d38ef152e520952f07ca24728a44039ad38af64736d26700804f89bd810,0x417a78dc944b052cfd09dcfb34d5703a9410cea1,3761
0xf81fe7c99a82a4ce1b4b196666df117c2197edd84a384504476d24e262b956c7,0xc398860d46779df160db92cdbcb6090eb5eb2dad,6673
