blockchain,project,version,block_date,tx_hash,evt_index,trace_address,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount
avalanche_c,yield_yak,1,2023-01-17,0x84c005d0dba60131a638a0eaafee57bdcad502bf04c17ddc7f49551dd20a8135,16,-1,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,25001.697591,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,25000
avalanche_c,yield_yak,1,2023-01-17,0xf0d9b16841b53a80cb6721fc136c4899bb8a4998bcb4804f0f4c70e079db3d24,16,-1,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,76.042075,0x50b7545627a5162f82a992c33b87adc75187b218,0.0036
arbitrum,yield_yak,1,2024-01-10,0x4b5ee769576905155d3747078e2a74e0e20dddffc92c18b9ad66c05872891dbd,7,-1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,1771.006720,0xaf88d065e77c8cc2239327c5edb3a432268e5831,1771.449734
arbitrum,yield_yak,1,2024-01-10,0xd4ece02125262fc4da6c95e5afe93ced9a39d4d7b6b1aa64da7c7d24c79079b1,18,-1,0xaf88d065e77c8cc2239327c5edb3a432268e5831,189.586564,0x912ce59144191c1204e64559fe8253a0e49e6548,97.938232001832199721
fantom,openocean,2,2023-01-18,0xebcba4785782cb71a405b2cfe8bf1b0bc7a4ec5a430fc25b8d27cc6a3f509d6a,318,-1,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,152.17069090909090909,0x74b23882a30290451a17c44f4f05243b6b58c76d,0.03
fantom,openocean,2,2023-01-19,0x51f72c8146b36aeccdf9c1714f600595ab48fd71e567dea57b5df8509a245dbe,22,-1,0x04068da6c83afcfa0e13ba15a6696662335d5b75,1185,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,1185.53317946613
avalanche_c,openocean,2,2023-01-19,0x8c2cf5f93cfd9206c799076480e05f5b97b3076a4e7af8e19dd0b5d7c09da2f9,24,-1,0xc7198437980c041c805a1edcba50c1ce5db95118,1.514025,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,0.001
avalanche_c,openocean,2,2023-01-19,0xb0ce6d23394a00a9b2d2718851c7cc424ba1b767ac73c871be0486ace43be139,110,-1,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0.0975,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,0.0975
fantom,paraswap,5,2023-01-24,0x3414e3c04222b629fe4ef690c2a7a2e44234073998ce9177a52c6e3e30fb494b,14,-1,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,0.25,0x321162cd933e2be498cd2267a90534a804051b11,0.00001093
fantom,paraswap,5,2023-01-24,0x4087c6c0a269bbdadad43db952a1d73a17d2ebdea075d7b15daac892d062f99a,21,-1,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,100,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,40.85493646095319
